STREETSEGID;QUADCODE;ST_NAME
1295;4;B St
1297;1;19th St
1297;1;19th St
1299;1;18th St
1300;1;Webster St
1300;1;Webster St
1301;3;Minnesota Ave
1302;1;43rd St
1303;2;Rhode Island Ave
1303;2;Rhode Island Ave
1308;2;3rd St
1308;2;3rd St
1310;1;Quackenbos St
1312;1;Connecticut Ave
1314;4;Robbins Rd
1314;4;Robbins Rd
1315;1;River Rd
1316;1;36th St
1317;1;Warren St
1318;1;Rodman St
1319;5;North Capitol St
1323;1;Brown St
1325;2;31st Pl
1326;4;Brookley Ave
1327;1;Rockwood Pkwy
1328;2;R St
1329;1;Aspen St
1330;1;1st St
1330;1;1st St
1330;1;1st St
1333;4;Washington Ave
1333;4;Washington Ave
1335;1;Blair Rd
1336;2;Oglethorpe St
1337;1;Nevada Ave
1338;2;Bladensburg Rd
1339;3;Valley Ter
1340;1;Q St
1341;1;L St
1341;1;L St
1345;1;Pennsylvania Ave
1345;1;Pennsylvania Ave
1348;1;Yuma St
1353;1;Tuckerman St
1353;1;Tuckerman St
1354;2;Minnesota Ave
1354;2;Minnesota Ave
1356;1;Massachusetts Ave
1356;1;Massachusetts Ave
1358;1;Mount Pleasant St
1359;1;Fuller St
1362;1;15th St
1367;4;G St
1367;4;G St
1369;1;8th St
1371;1;15th St
1371;1;15th St
1371;1;15th St
1371;1;15th St
1373;3;G St
1374;2;17th St
1374;2;17th St
1374;2;17th St
1375;2;C St
1376;3;Brothers Pl
1381;3;Barney Cir
1384;3;Raynolds Pl
1384;3;Raynolds Pl
1385;1;Sandy Spring Rd
1388;1;18th St
1393;1;Mount Pleasant St
1394;2;Minnesota Ave
1394;2;Minnesota Ave
1396;2;Taylor St
1397;1;Eskridge Ter
1398;3;Q St
1398;3;Q St
1399;2;Warren St
1404;2;South Dakota Ave
1405;1;Michigan Ave
1405;1;Michigan Ave
1409;1;Georgia Ave
1411;1;Constitution Ave
1412;2;59th St
1414;1;P St
1415;1;Reservoir Rd
1416;3;Stanton Rd
1417;5;Interstate 395
1418;2;21st St
1419;1;52nd St
1421;3;Fort Dupont St
1425;1;Q St
1427;1;Unicorn Ln
1428;3;23rd St
